Tipo,Simbolo,Nome,Note,Spiegazione
"Accordi di 7ª Maggiore","Gbmaj7","Sol bemolle settima maggiore","Solb Sib Reb Fa","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Gmaj7","Sol settima maggiore","Sol Si Re Fa#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Abmaj7","La bemolle settima maggiore","Lab Do Mib Sol","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Amaj7","La settima maggiore","La Do# Mi Sol#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Bbmaj7","Si bemolle settima maggiore","Sib Re Fa La","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 7ª Maggiore","Bmaj7","Si settima maggiore","Si Re# Fa# La#","Settima maggiore: triade maggiore + settima maggiore"
"Accordi di 9ª","C9/D","Do nona quarta inversione","Re Do Mi Sol Sib","Quarta inversione: la nona (Re) al basso"
"Accordi di 9ª","C#9/D#","Do diesis nona quarta inversione","Re# Do# Mi# Sol# Si","Quarta inversione: la nona (Re#) al basso"
"Accordi di 9ª","Db9/Eb","Re bemolle nona quarta inversione","Mib Reb Fa Lab Dob","Quarta inversione: la nona (Mib) al basso"
"Accordi di 9ª","D9/E","Re nona quarta inversione","Mi Re Fa# La Do","Quarta inversione: la nona (Mi) al basso"
"Accordi di 9ª","E9/F#","Mi nona quarta inversione","Fa# Mi Sol# Si Re","Quarta inversione: la nona (Fa#) al basso"
"Accordi di 9ª","F9/G","Fa nona quarta inversione","Sol Fa La Do Mib","Quarta inversione: la nona (Sol) al basso"
"Accordi di 9ª","F#9/G#","Fa diesis nona quarta inversione","Sol# Fa# La# Do# Mi","Quarta inversione: la nona (Sol#) al basso"
"Accordi di 9ª","Gb9/Ab","Sol bemolle nona quarta inversione","Lab Solb Sib Reb Fab","Quarta inversione: la nona (Lab) al basso"
"Accordi di 9ª","G9/A","Sol nona quarta inversione","La Sol Si Re Fa","Quarta inversione: la nona (La) al basso"
"Accordi di 9ª","Bb9/C","Si bemolle nona quarta inversione","Do Sib Re Fa Lab","Quarta inversione: la nona (Do) al basso"
"Accordi di 9ª","B9/C#","Si nona quarta inversione","Do# Si Re# Fa# La","Quarta inversione: la nona (Do#) al basso"
"Altri","Cm7","Do minore settima","Do Mib Sol Sib","Settima minore: triade minore + settima minore"
"Altri","C#m7","Do diesis minore settima","Do# Mi Sol# Si","Settima minore: triade minore + settima minore"
"Altri","Dbm7","Re bemolle minore settima","Reb Fab Lab Dob","Settima minore: triade minore + settima minore"
"Altri","Dm7","Re minore settima","Re Fa La Do","Settima minore: triade minore + settima minore"
"Altri","D#m7","Re diesis minore settima","Re# Fa# La# Do#","Settima minore: triade minore + settima minore"
"Altri","Ebm7","Mi bemolle minore settima","Mib Solb Sib Reb","Settima minore: triade minore + settima minore"
"Altri","Em7","Mi minore settima","Mi Sol Si Re","Settima minore: triade minore + settima minore"
"Altri","Fm7","Fa minore settima","Fa Lab Do Mib","Settima minore: triade minore + settima minore"
"Altri","F#m7","Fa diesis minore settima","Fa# La Do# Mi","Settima minore: triade minore + settima minore"
"Altri","Gm7","Sol minore settima","Sol Sib Re Fa","Settima minore: triade minore + settima minore"
"Altri","G#m7","Sol diesis minore settima","Sol# Si Re# Fa#","Settima minore: triade minore + settima minore"
"Altri","Abm7","La bemolle minore settima","Lab Dob Mib Solb","Settima minore: triade minore + settima minore"
"Altri","Am7","La minore settima","La Do Mi Sol","Settima minore: triade minore + settima minore"
"Altri","A#m7","La diesis minore settima","La# Do# Mi# Sol#","Settima minore: triade minore + settima minore"
"Altri","Bbm7","Si bemolle minore settima","Sib Reb Fa Lab","Settima minore: triade minore + settima minore"
"Altri","Bm7","Si minore settima","Si Re Fa# La","Settima minore: triade minore + settima minore"
"Altri","C6","Do maggiore sesta","Do Mi Sol La","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","C#6","Do diesis maggiore sesta","Do# Mi# Sol# La#","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","Db6","Re bemolle maggiore sesta","Reb Fa Lab Sib","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","D6","Re maggiore sesta","Re Fa# La Si","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","Eb6","Mi bemolle maggiore sesta","Mib Sol Sib Do","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","E6","Mi maggiore sesta","Mi Sol# Si Do#","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","F6","Fa maggiore sesta","Fa La Do Re","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","F#6","Fa diesis maggiore sesta","Fa# La# Do# Re#","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","Gb6","Sol bemolle maggiore sesta","Solb Sib Reb Mib","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","G6","Sol maggiore sesta","Sol Si Re Mi","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","Ab6","La bemolle maggiore sesta","Lab Do Mib Fa","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","A6","La maggiore sesta","La Do# Mi Fa#","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","Bb6","Si bemolle maggiore sesta","Sib Re Fa Sol","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","B6","Si maggiore sesta","Si Re# Fa# Sol#","Accordo di sesta maggiore: triade maggiore + sesta maggiore"
"Altri","C/E","Do maggiore prima inversione","Mi Sol Do","Prima inversione: la terza (Mi) al basso"
"Altri","C/G","Do maggiore seconda inversione","Sol Do Mi","Seconda inversione: la quinta (Sol) al basso"
"Altri","C#/E#","Do diesis maggiore prima inversione","Mi# Sol# Do#","Prima inversione: la terza (Mi#) al basso"
"Altri","C#/G#","Do diesis maggiore seconda inversione","Sol# Do# Mi#","Seconda inversione: la quinta (Sol#) al basso"
"Altri","Db/F","Re bemolle maggiore prima inversione","Fa Lab Reb","Prima inversione: la terza (Fa) al basso"
"Altri","Db/Ab","Re bemolle maggiore seconda inversione","Lab Reb Fa","Seconda inversione: la quinta (Lab) al basso"
"Altri","D/F#","Re maggiore prima inversione","Fa# La Re","Prima inversione: la terza (Fa#) al basso"
"Altri","D/A","Re maggiore seconda inversione","La Re Fa#","Seconda inversione: la quinta (La) al basso"
"Altri","Eb/G","Mi bemolle maggiore prima inversione","Sol Sib Mib","Prima inversione: la terza (Sol) al basso"
"Altri","Eb/Bb","Mi bemolle maggiore seconda inversione","Sib Mib Sol","Seconda inversione: la quinta (Sib) al basso"
"Altri","E/G#","Mi maggiore prima inversione","Sol# Si Mi","Prima inversione: la terza (Sol#) al basso"
"Altri","E/B","Mi maggiore seconda inversione","Si Mi Sol#","Seconda inversione: la quinta (Si) al basso"
"Altri","F/A","Fa maggiore prima inversione","La Do Fa","Prima inversione: la terza (La) al basso"
"Altri","F/C","Fa maggiore seconda inversione","Do Fa La","Seconda inversione: la quinta (Do) al basso"
"Altri","F#/A#","Fa diesis maggiore prima inversione","La# Do# Fa#","Prima inversione: la terza (La#) al basso"
"Altri","F#/C#","Fa diesis maggiore seconda inversione","Do# Fa# La#","Seconda inversione: la quinta (Do#) al basso"
"Altri","Gb/Bb","Sol bemolle maggiore prima inversione","Sib Reb Solb","Prima inversione: la terza (Sib) al basso"
"Altri","Gb/Db","Sol bemolle maggiore seconda inversione","Reb Solb Sib","Seconda inversione: la quinta (Reb) al basso"
"Altri","G/B","Sol maggiore prima inversione","Si Re Sol","Prima inversione: la terza (Si) al basso"
"Altri","G/D","Sol maggiore seconda inversione","Re Sol Si","Seconda inversione: la quinta (Re) al basso"
"Altri","Ab/C","La bemolle maggiore prima inversione","Do Mib Lab","Prima inversione: la terza (Do) al basso"
"Altri","Ab/Eb","La bemolle maggiore seconda inversione","Mib Lab Do","Seconda inversione: la quinta (Mib) al basso"
"Altri","A/C#","La maggiore prima inversione","Do# Mi La","Prima inversione: la terza (Do#) al basso"
"Altri","A/E","La maggiore seconda inversione","Mi La Do#","Seconda inversione: la quinta (Mi) al basso"
"Altri","Bb/D","Si bemolle maggiore prima inversione","Re Fa Sib","Prima inversione: la terza (Re) al basso"
"Altri","Bb/F","Si bemolle maggiore seconda inversione","Fa Sib Re","Seconda inversione: la quinta (Fa) al basso"
"Altri","B/D#","Si maggiore prima inversione","Re# Fa# Si","Prima inversione: la terza (Re#) al basso"
"Altri","B/F#","Si maggiore seconda inversione","Fa# Si Re#","Seconda inversione: la quinta (Fa#) al basso"
"Altri","Csus2","Do sospeso seconda","Do Re Sol","Accordo sospeso: seconda al posto della terza"
"Altri","C#sus2","Do diesis sospeso seconda","Do# Re# Sol#","Accordo sospeso: seconda al posto della terza"
"Altri","Dbsus2","Re bemolle sospeso seconda","Reb Mib Lab","Accordo sospeso: seconda al posto della terza"
"Altri","Dsus2","Re sospeso seconda","Re Mi La","Accordo sospeso: seconda al posto della terza"
"Altri","Ebsus2","Mi bemolle sospeso seconda","Mib Fa Sib","Accordo sospeso: seconda al posto della terza"
"Altri","Esus2","Mi sospeso seconda","Mi Fa# Si","Accordo sospeso: seconda al posto della terza"
"Altri","Fsus2","Fa sospeso seconda","Fa Sol Do","Accordo sospeso: seconda al posto della terza"
"Altri","F#sus2","Fa diesis sospeso seconda","Fa# Sol# Do#","Accordo sospeso: seconda al posto della terza"
"Altri","Gbsus2","Sol bemolle sospeso seconda","Solb Lab Reb","Accordo sospeso: seconda al posto della terza"
"Altri","Gsus2","Sol sospeso seconda","Sol La Re","Accordo sospeso: seconda al posto della terza"
"Altri","Absus2","La bemolle sospeso seconda","Lab Sib Mib","Accordo sospeso: seconda al posto della terza"
"Altri","Asus2","La sospeso seconda","La Si Mi","Accordo sospeso: seconda al posto della terza"
"Altri","Bbsus2","Si bemolle sospeso seconda","Sib Do Fa","Accordo sospeso: seconda al posto della terza"
"Altri","Bsus2","Si sospeso seconda","Si Do# Fa#","Accordo sospeso: seconda al posto della terza"
"Altri","Csus4","Do sospeso quarta","Do Fa Sol","Accordo sospeso: quarta al posto della terza"
"Altri","C#sus4","Do diesis sospeso quarta","Do# Fa# Sol#","Accordo sospeso: quarta al posto della terza"
"Altri","Dbsus4","Re bemolle sospeso quarta","Reb Solb Lab","Accordo sospeso: quarta al posto della terza"
"Altri","Dsus4","Re sospeso quarta","Re Sol La","Accordo sospeso: quarta al posto della terza"
"Altri","Ebsus4","Mi bemolle sospeso quarta","Mib Lab Sib","Accordo sospeso: quarta al posto della terza"
"Altri","Esus4","Mi sospeso quarta","Mi La Si","Accordo sospeso: quarta al posto della terza"
"Altri","Fsus4","Fa sospeso quarta","Fa Sib Do","Accordo sospeso: quarta al posto della terza"
"Altri","F#sus4","Fa diesis sospeso quarta","Fa# Si Do#","Accordo sospeso: quarta al posto della terza"
"Altri","Gbsus4","Sol bemolle sospeso quarta","Solb Dob Reb","Accordo sospeso: quarta al posto della terza"
"Altri","Gsus4","Sol sospeso quarta","Sol Do Re","Accordo sospeso: quarta al posto della terza"
"Altri","Absus4","La bemolle sospeso quarta","Lab Reb Mib","Accordo sospeso: quarta al posto della terza"
"Altri","Asus4","La sospeso quarta","La Re Mi","Accordo sospeso: quarta al posto della terza"
"Altri","Bbsus4","Si bemolle sospeso quarta","Sib Mib Fa","Accordo sospeso: quarta al posto della terza"
"Altri","Bsus4","Si sospeso quarta","Si Mi Fa#","Accordo sospeso: quarta al posto della terza"
"Triadi Aumentate","C+","Do aumentato","Do Mi Sol#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","C#+","Do diesis aumentato","Do# Mi# Sol##","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","Db+","Re bemolle aumentato","Reb Fa La","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","D+","Re aumentato","Re Fa# La#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","Eb+","Mi bemolle aumentato","Mib Sol Si","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","E+","Mi aumentato","Mi Sol# Si#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","F+","Fa aumentato","Fa La Do#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","F#+","Fa diesis aumentato","Fa# La# Do##","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","Gb+","Sol bemolle aumentato","Solb Sib Re","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","G+","Sol aumentato","Sol Si Re#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","Ab+","La bemolle aumentato","Lab Do Mi","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","A+","La aumentato","La Do# Mi#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","Bb+","Si bemolle aumentato","Sib Re Fa#","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Aumentate","B+","Si aumentato","Si Re# Fa##","Triade aumentata: fondamentale + terza maggiore + quinta aumentata"
"Triadi Diminuite","C°","Do diminuito","Do Mib Solb","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","C#°","Do diesis diminuito","Do# Mi Sol","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","Db°","Re bemolle diminuito","Reb Fab Labb","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","D°","Re diminuito","Re Fa Lab","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","D#°","Re diesis diminuito","Re# Fa# La","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","Eb°","Mi bemolle diminuito","Mib Solb Sibb","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","E°","Mi diminuito","Mi Sol Sib","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","F°","Fa diminuito","Fa Lab Dob","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","F#°","Fa diesis diminuito","Fa# La Do","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","G°","Sol diminuito","Sol Sib Reb","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","G#°","Sol diesis diminuito","Sol# Si Re","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","A°","La diminuito","La Do Mib","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","A#°","La diesis diminuito","La# Do# Mi","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","Bb°","Si bemolle diminuito","Sib Reb Fab","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Diminuite","B°","Si diminuito","Si Re Fa","Triade diminuita: fondamentale + terza minore + quinta diminuita"
"Triadi Maggiori","C","Do maggiore","Do Mi Sol","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","C#","Do diesis maggiore","Do# Mi# Sol#","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Db","Re bemolle maggiore","Reb Fa Lab","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","D","Re maggiore","Re Fa# La","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Eb","Mi bemolle maggiore","Mib Sol Sib","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","E","Mi maggiore","Mi Sol# Si","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","F","Fa maggiore","Fa La Do","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","F#","Fa diesis maggiore","Fa# La# Do#","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Gb","Sol bemolle maggiore","Solb Sib Reb","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","G","Sol maggiore","Sol Si Re","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Ab","La bemolle maggiore","Lab Do Mib","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","A","La maggiore","La Do# Mi","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Bb","Si bemolle maggiore","Sib Re Fa","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","B","Si maggiore","Si Re# Fa#","Triade maggiore: fondamentale + terza maggiore + quinta giusta"
"Triadi Maggiori","Cadd2","Do aggiunta seconda","Do Re Mi Sol","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","C#add2","Do diesis aggiunta seconda","Do# Re# Mi# Sol#","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Dbadd2","Re bemolle aggiunta seconda","Reb Mib Fa Lab","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Dadd2","Re aggiunta seconda","Re Mi Fa# La","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Ebadd2","Mi bemolle aggiunta seconda","Mib Fa Sol Sib","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Eadd2","Mi aggiunta seconda","Mi Fa# Sol# Si","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Fadd2","Fa aggiunta seconda","Fa Sol La Do","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","F#add2","Fa diesis aggiunta seconda","Fa# Sol# La# Do#","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Gbadd2","Sol bemolle aggiunta seconda","Solb Lab Sib Reb","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Gadd2","Sol aggiunta seconda","Sol La Si Re","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Abadd2","La bemolle aggiunta seconda","Lab Sib Do Mib","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Aadd2","La aggiunta seconda","La Si Do# Mi","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Bbadd2","Si bemolle aggiunta seconda","Sib Do Re Fa","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Badd2","Si aggiunta seconda","Si Do# Re# Fa#","Triade maggiore con seconda aggiunta"
"Triadi Maggiori","Cadd9","Do aggiunta nona","Do Mi Sol Re","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","C#add9","Do diesis aggiunta nona","Do# Mi# Sol# Re#","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Dbadd9","Re bemolle aggiunta nona","Reb Fa Lab Mib","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Dadd9","Re aggiunta nona","Re Fa# La Mi","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Ebadd9","Mi bemolle aggiunta nona","Mib Sol Sib Fa","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Eadd9","Mi aggiunta nona","Mi Sol# Si Fa#","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Fadd9","Fa aggiunta nona","Fa La Do Sol","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","F#add9","Fa diesis aggiunta nona","Fa# La# Do# Sol#","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Gbadd9","Sol bemolle aggiunta nona","Solb Sib Reb Lab","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Gadd9","Sol aggiunta nona","Sol Si Re La","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Abadd9","La bemolle aggiunta nona","Lab Do Mib Sib","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Aadd9","La aggiunta nona","La Do# Mi Si","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Bbadd9","Si bemolle aggiunta nona","Sib Re Fa Do","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Maggiori","Badd9","Si aggiunta nona","Si Re# Fa# Do#","Triade maggiore con nona aggiunta (senza settima)"
"Triadi Minori","Cm","Do minore","Do Mib Sol","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","C#m","Do diesis minore","Do# Mi Sol#","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Dm","Re minore","Re Fa La","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","D#m","Re diesis minore","Re# Fa# La#","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Ebm","Mi bemolle minore","Mib Solb Sib","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Em","Mi minore","Mi Sol Si","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Fm","Fa minore","Fa Lab Do","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","F#m","Fa diesis minore","Fa# La Do#","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Gm","Sol minore","Sol Sib Re","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","G#m","Sol diesis minore","Sol# Si Re#","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Am","La minore","La Do Mi","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","A#m","La diesis minore","La# Do# Mi#","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Bbm","Si bemolle minore","Sib Reb Fa","Triade minore: fondamentale + terza minore + quinta giusta"
"Triadi Minori","Bm","Si minore","Si Re Fa#","Triade minore: fondamentale + terza minore + quinta giusta"
